,amenity,cnt,,,,,,,,
0,ATLAS_clean_room,1,,,,,,,,
1,EVSE,1,,,,,,,,
2,Observation Platform,1,,,,,,,,
3,Pharmacy,2,,,,,,,,
4,animal_shelter,4,,,,,,,,
5,arts_centre,11,,,,,,,,
6,atm,98,,,,,,,,
7,atm;bank,1,,,,,before 8:00pm,,,after 8:00pm
8,bank,460,,,,,,,,
9,bar,177,,,
10,bbq,7,,,,,caf��,,,bistro
11,bench,3738,,,
12,bicycle_parking,1423,,,
13,bicycle_rental,202,,,
14,bicycle_repair_station,19,,,
15,biergarten,1,,,
16,bistro,1,,,
17,boat_rental,9,,,,,,,,
18,bureau_de_change,23,,,
19,bus_station,16,,,
20,cafe,1066,,,
21,car_rental,33,,,
22,car_rep,1,,,,,,,,
23,car_sharing,132,,,,,,,,
24,car_wash,31,,,
25,casino,1,,,
26,charging_station,63,,,
27,childcare,47,,,
28,chiropractor,1,,,
29,cinema,12,,,
30,clinic,120,,,
31,clock,10,,,
32,college,23,,,
33,community_centre,63,,,
34,compressed_air,8,,,
35,conference_centre,2,,,
36,construction,5,,,
37,courthouse,2,,,,,,,,
38,cram_school,2,,,,,,,,
39,dentist,248,,,,,,,,
40,disused:restaurant,1,,,,,,,,
41,doctors,99,,,,,,,,
42,dojo,13,,,,,,,,
43,drinking_water,322,,,,,,,,
44,driving_school,3,,,,,,,,
45,events_venue,9,,,,,,,,
46,family_centre,1,,,,,,,,
47,fast_food,1147,,,,,,,,
48,ferry_terminal,33,,,,,,,,
49,fire_station,22,,,,,,,,
50,first_aid,1,,,,,,,,
51,food_court,15,,,,,,,,
52,fountain,61,,,,,,,,
53,fuel,202,,,,,,,,
54,gambling,1,,,,,,,,
55,gym,1,,,,,,,,
56,healthcare,2,,,,,,,,
57,hospital,8,,,,,,,,
58,housing co-op,1,,,,,,,,
59,hunting_stand,1,,,,,,,,
60,ice_cream,73,,,,,,,,
61,internet_cafe,2,,,,,,,,
62,juice_bar,1,,,,,,,,
63,kindergarten,17,,,,,,,,
64,language_school,5,,,,,,,,
65,leisure,1,,,,,,,,
66,letter_box,2,,,,,,,,
67,library,51,,,,,,,,
68,loading_dock,4,,,,,,,,
69,lobby,1,,,,,,,,
70,lounge,4,,,,,,,,
71,luggage_locker,1,,,,,,,,
72,marketplace,18,,,,,,,,
73,meditation_centre,1,,,,,,,,
74,monastery,1,,,,,,,,
75,money_transfer,1,,,,,,,,
76,motorcycle_parking,6,,,,,,,,
77,motorcycle_rental,1,,,,,,,,
78,music_school,11,,,,,,,,
79,nightclub,12,,,,,,,,
80,nursery,1,,,,,,,,
81,office|financial,1,,,,,,,,
82,park,1,,,,,,,,
83,parking,307,,,,,,,,
84,parking_entrance,274,,,,,,,,
85,parking_space,8,,,,,,,,
86,payment_terminal,1,,,,,,,,
87,pharmacy,311,,,,,,,,
88,photo_booth,1,,,,,,,,
89,place_of_worship,116,,,,,,,,
90,playground,1,,,,,,,,
91,police,23,,,,,,,,
92,post_box,972,,,,,,,,
93,post_depot,2,,,,,,,,
94,post_office,188,,,,,,,,
95,prep_school,5,,,,,,,,
96,pub,189,,,,,,,,
97,public_bookcase,80,,,,,,,,
98,public_building,1,,,,,,,,
99,ranger_station,1,,,,,,,,
100,recycling,139,,,,,,,,
101,research_institute,11,,,,,,,,
102,restaurant,2472,,,,,,,,
103,safety,1,,,,,,,,
104,sanitary_dump_station,4,,,,,,,,
105,school,71,,,,,,,,
106,science,6,,,,,,,,
107,scrapyard,2,,,,,,,,
108,seaplane terminal,3,,,,,,,,
109,shelter,65,,,,,,,,
110,shop|clothes,1,,,,,,,,
111,shower,8,,,,,,,,
112,smoking_area,4,,,,,,,,
113,social_centre,12,,,,,,,,
114,social_facility,50,,,,,,,,
115,spa,5,,,,,,,,
116,storage,1,,,,,,,,
117,storage_rental,1,,,,,,,,
118,stripclub,2,,,,,,,,
119,studio,6,,,,,,,,
120,taxi,13,,,,,,,,
121,telephone,68,,,,,,,,
122,theatre,44,,,,,,,,
123,toilets,552,,,,,,,,
124,townhall,9,,,,,,,,
125,training,1,,,,,,,,
126,trash,1,,,,,,,,
127,trolley_bay,16,,,,,,,,
128,university,6,,,,,,,,
129,vacuum_cleaner,5,,,,,,,,
130,vending_machine,138,,,,,,,,
131,veterinary,72,,,,,,,,
132,waste_basket,1137,,,,,,,,
133,waste_disposal,82,,,,,,,,
134,waste_transfer_station,1,,,,,,,,
135,water_point,1,,,,,,,,
136,watering_place,1,,,,,,,,
137,workshop,3,,,,,,,,
